identifier,genre,author,authority,authURI
WHA,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IIAa2,letter,Irmelin Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Rudolph Bergh,RISM,http://www.rism.info/
CNA IAc,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Bror Beckman,RISM,http://www.rism.info
CNA NKS 5155,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Olav Kielland,RISM,http://www.rism.info
CNA IAb,letter,Sophus Michaëlis,RISM,http://www.rism.info/
CNA IAb,letter,Rudolph Simonsen,RISM,http://www.rism.info
NKS 5155 4°,letter,Carl Nielsen,RISM,http://www.rism.info/
Robert Kajanus-arkiv,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAa1,letter,Anne Marie Carl-Nielsen,RISM,http://www.rism.info/
Brevs. 150,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAa3,letter,Anne Marie Telmányi,RISM,http://www.rism.info
CNA IIAb,letter,Marie Møller,RISM,http://www.rism.info/
CNA IIAa,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Eliza Herløv,RISM,http://www.rism.info/
CNA IAb,letter,Thorvald Otterström,RISM,http://www.rism.info/
CNA IAb,letter,"Adolf Wiklund, Gunnar Jeansson et al.",RISM,http://www.rism.info
CNA IAb,letter,F.J. Borgbjerg,RISM,http://www.rism.info/
CNA IAb,letter,Julius Röntgen,RISM,http://www.rism.info/
Acc. 1981/168,letter,Carl Nielsen,RISM,http://www.rism.info/
WHA,letter,Wilhelm Hansen,RISM,http://www.rism.info
CNA IAd,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAa7,letter,Frederikke Møller,RISM,http://www.rism.info/
CNS,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Einar Christiansen,RISM,http://www.rism.info/
CNA IAb,letter,Carl Nielsen,RISM,http://www.rism.info
"NKS 2821, I,1 2°",letter,Carl Nielsen,RISM,http://www.rism.info/
NDB 3. rk. Acc. 2010/50,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,John Forsell,RISM,http://www.rism.info
CNA IAa3,letter,Emil Telmányi,RISM,http://www.rism.info
WHA,letter,Carl Nielsen,RISM,http://www.rism.info
Gunnar Jeansons arkiv,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Poul Schierbeck,RISM,http://www.rism.info
CNA ID3a,manuscript,Carl Nielsen,RISM,http://www.rism.info
Julius Rabes arkiv,letter,Carl Nielsen,RISM,http://www.rism.info
HGM-107/C-135–15,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA ID3a,letter,Carl Nielsen,RISM,http://www.rism.info/
CNS,letter,Carl Nielsen,RISM,http://www.rism.info/
Acc. 1995/55,letter,Carl Nielsen,RISM,http://www.rism.info
"HA, CNA IAd",letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Kurt Atterberg,RISM,http://www.rism.info
CNA IAa1,letter,Anne Marie Carl-Nielsen,RISM,http://www.rism.info
CNA IIAa,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IIIA4,letter,Hans Børge Nielsen,RISM,http://www.rism.info/
Ture Ragnströms arkiv,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAc,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IIIAa2,letter,Anne Marie Nielsen,RISM,http://www.rism.info/
MPs arkiv/Musikmuseet,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IIIAa1,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Vilhelm Herold,RISM,http://www.rism.info/
NBD 3. rk. Acc. 2010/50,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Ture Rangström,RISM,http://www.rism.info/
Acc. 2002/11,letter,Carl Nielsen,RISM,http://www.rism.info/
Bror Beckmans arkiv,letter,Carl Nielsen,RISM,http://www.rism.info/
HGM-107/C-135–31,letter,Carl Nielsen,RISM,http://www.rism.info/
Ch. Kj. efterladte papirer I,letter,Carl Nielsen,RISM,http://www.rism.info/
Acc. 1995/55,letter,Carl Nielsen,RISM,http://www.rism.info/
WHA,letter,Karen Juhl,RISM,http://www.rism.info/
HGM-107/C-135–03,letter,Carl Nielsen,RISM,http://www.rism.info/
"HA, CNA IAa7",letter,Lucie Petersen,RISM,http://www.rism.info/
CNA IAb,letter,Victor Lemkow,RISM,http://www.rism.info
CNA IAb,letter,Aage Matthison-Hansen,RISM,http://www.rism.info/
"Göteborgs lyriska Teater, B1, 15",letter,Karl Kinch,RISM,http://www.rism.info
CNA IAb,letter,Poul Kanneworf,RISM,http://www.rism.info
CNA IB1,letter,Christian Danneskiold-Samsøe,RISM,http://www.rism.info/
Tilg. 281,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Ivan Stchelkunoff,RISM,http://www.rism.info/
Brevs. 493,letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Moses Pergament,RISM,http://www.rism.info
CNA IAb,letter,Bror Beckman,RISM,http://www.rism.info/
CNA IAb,letter,Julius Rabe,RISM,http://www.rism.info/
CNA IAb,letter,Knud Harder,RISM,http://www.rism.info/
CNA ID3b,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Wilhelm Frederik Laub,RISM,http://www.rism.info/
CNA IAb,letter,Emilius Bangert,RISM,http://www.rism.info/
Torben Schousboes Arkiv,letter,Ove Jørgensen,RISM,http://www.rism.info/
CNA IAb,letter,Max von Schillings,RISM,http://www.rism.info/
CNA IAb,letter,Hugo Seligmann,RISM,http://www.rism.info/
CNA IIIAb,letter,Henriette Magnus,RISM,http://www.rism.info
"Brevsamlingen, B16 : 16",letter,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Hother Ploug,RISM,http://www.rism.info/
CNA IAb,letter,Johannes Kragh,RISM,http://www.rism.info
CNA IAb,letter,Max Brod,RISM,http://www.rism.info/
CNA IAb,letter,Sven Kjellström,RISM,http://www.rism.info
HGM-107/C-135–01&12,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Knud Malmstrøm,RISM,http://www.rism.info
NKS 5028 4°,letter,Carl Nielsen,RISM,http://www.rism.info/
Hortense Panums papirer,letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Hilmar Biehe,RISM,http://www.rism.info
CNA IIAa3,letter,Carl Nielsen and Anne Marie Telmányi,RISM,http://www.rism.info
CNA IIAb,letter,Henriette Magnus,RISM,http://www.rism.info
CNA IV,letter,Anne Marie Carl-Nielsen,RISM,http://www.rism.info/
"NKS 2955, 4°",letter,Carl Nielsen,RISM,http://www.rism.info/
CNA IAb,letter,Carl Johan Michaelsen,RISM,http://www.rism.info/
CNA ID3,manuscript,Carl Nielsen,RISM,http://www.rism.info
CNA IAb,letter,Godtfred Skjerne,RISM,http://www.rism.info/
CNA IIAb,letter,Henrik Knudsen,RISM,http://www.rism.info/
